year,state,voter_pct_of_total,voter_pct_of_citizen,reg_pct_of_total,reg_pct_of_citizen
1982,WY,0.6,0.618,0.6679999999999999,0.6890000000000001
1984,AK,0.591,0.634,0.7040000000000001,0.7559999999999999
1984,AL,0.608,0.623,0.7559999999999999,0.775
1984,AR,0.604,0.612,0.7040000000000001,0.7140000000000001
1984,AZ,0.54,0.581,0.63,0.677
1984,CA,0.557,0.68,0.615,0.7509999999999999
1984,CO,0.605,0.644,0.669,0.7120000000000001
1984,CT,0.642,0.6859999999999999,0.721,0.77
1984,DC,0.54,0.632,0.604,0.7070000000000001
1984,DE,0.59,0.649,0.635,0.6990000000000001
1984,FL,0.5329999999999999,0.5920000000000001,0.626,0.695
1984,GA,0.524,0.557,0.631,0.6709999999999999
1984,HI,0.545,0.615,0.5920000000000001,0.6679999999999999
1984,IA,0.6859999999999999,0.701,0.757,0.774
1984,ID,0.675,0.7120000000000001,0.7390000000000001,0.78
1984,IL,0.669,0.736,0.747,0.8220000000000001
1984,IN,0.624,0.6409999999999999,0.6970000000000001,0.716
1984,KS,0.633,0.662,0.6990000000000001,0.731
1984,KY,0.59,0.606,0.7,0.718
1984,LA,0.649,0.6829999999999999,0.732,0.7709999999999999
1984,MA,0.609,0.6729999999999999,0.696,0.769
1984,MD,0.6,0.647,0.6829999999999999,0.737
1984,ME,0.687,0.7190000000000001,0.835,0.875
1984,MI,0.623,0.6659999999999999,0.738,0.7879999999999999
1984,MN,0.7559999999999999,0.78,0.858,0.885
1984,MO,0.655,0.677,0.7490000000000001,0.774
1984,MS,0.693,0.7020000000000001,0.826,0.8490000000000001
1984,MT,0.708,0.74,0.773,0.8079999999999999
1984,NC,0.565,0.579,0.654,0.669
1984,ND,0.71,0.7290000000000001,0.9179999999999999,0.943
1984,NE,0.627,0.654,0.713,0.7440000000000001
1984,NH,0.597,0.617,0.69,0.7120000000000001
1984,NJ,0.609,0.6709999999999999,0.679,0.748
1984,NM,0.617,0.648,0.696,0.73
1984,NV,0.461,0.517,0.508,0.57
1984,NY,0.578,0.659,0.635,0.7240000000000001
1984,OH,0.623,0.647,0.696,0.723
1984,OK,0.597,0.626,0.705,0.7390000000000001
1984,OR,0.67,0.711,0.743,0.789
1984,PA,0.586,0.615,0.652,0.6829999999999999
1984,RI,0.627,0.695,0.6859999999999999,0.76
1984,SC,0.486,0.504,0.584,0.606
1984,SD,0.684,0.701,0.775,0.794
1984,TN,0.58,0.593,0.715,0.731
1984,TX,0.544,0.594,0.6509999999999999,0.7120000000000001
1984,UT,0.713,0.741,0.7659999999999999,0.797
1984,VA,0.5660000000000001,0.597,0.626,0.66
1984,VT,0.611,0.645,0.745,0.787
1984,WA,0.645,0.695,0.706,0.7609999999999999
1984,WI,0.715,0.736,0.8290000000000001,0.852
1984,WV,0.591,0.605,0.6940000000000001,0.71
1984,WY,0.6629999999999999,0.688,0.7170000000000001,0.7440000000000001
1986,AK,0.562,0.581,0.7020000000000001,0.726
1986,AL,0.531,0.542,0.745,0.7609999999999999
1986,AR,0.47100000000000003,0.479,0.634,0.645
1986,AZ,0.462,0.491,0.573,0.61
1986,CA,0.45299999999999996,0.551,0.573,0.698
1986,CO,0.527,0.544,0.65,0.6709999999999999
1986,CT,0.467,0.502,0.6709999999999999,0.722
1986,DC,0.425,0.469,0.616,0.679
1986,DE,0.38,0.392,0.575,0.593
1986,FL,0.466,0.513,0.598,0.6579999999999999
1986,GA,0.39399999999999996,0.40700000000000003,0.588,0.608
1986,HI,0.53,0.5870000000000001,0.579,0.6409999999999999
1986,IA,0.48100000000000004,0.49700000000000005,0.6759999999999999,0.698
1986,ID,0.649,0.674,0.696,0.722
1986,IL,0.473,0.506,0.672,0.718
1986,IN,0.493,0.505,0.6459999999999999,0.6609999999999999
1986,KS,0.535,0.5479999999999999,0.6609999999999999,0.677
1986,KY,0.34299999999999997,0.35,0.6559999999999999,0.6709999999999999
1986,LA,0.5670000000000001,0.5920000000000001,0.7120000000000001,0.743
1986,MA,0.484,0.518,0.6679999999999999,0.7140000000000001
1986,MD,0.431,0.45799999999999996,0.629,0.6679999999999999
1986,ME,0.546,0.557,0.852,0.868
1986,MI,0.445,0.47200000000000003,0.723,0.7659999999999999
1986,MN,0.593,0.61,0.8690000000000001,0.894
1986,MO,0.467,0.48100000000000004,0.65,0.67
1986,MS,0.43700000000000006,0.44,0.768,0.774
1986,MT,0.6509999999999999,0.6609999999999999,0.752,0.763
1986,NC,0.452,0.461,0.637,0.65
1986,ND,0.727,0.741,0.946,0.9640000000000001
1986,NE,0.545,0.555,0.6759999999999999,0.6890000000000001
1986,NH,0.376,0.392,0.596,0.622
1986,NJ,0.373,0.40299999999999997,0.6409999999999999,0.693
1986,NM,0.47100000000000003,0.489,0.607,0.63
1986,NV,0.425,0.451,0.494,0.524
1986,NY,0.43799999999999994,0.505,0.573,0.6609999999999999
1986,OH,0.491,0.508,0.6629999999999999,0.6859999999999999
1986,OK,0.486,0.502,0.667,0.688
1986,OR,0.647,0.664,0.778,0.797
1986,PA,0.461,0.47700000000000004,0.611,0.632
1986,RI,0.474,0.529,0.62,0.6920000000000001
1986,SC,0.413,0.424,0.568,0.584
1986,SD,0.655,0.6629999999999999,0.787,0.7959999999999999
1986,TN,0.44,0.449,0.66,0.674
1986,TX,0.374,0.413,0.586,0.648
1986,UT,0.494,0.514,0.657,0.684
1986,VA,0.375,0.391,0.633,0.66
1986,VT,0.585,0.602,0.755,0.777
1986,WA,0.483,0.511,0.6659999999999999,0.7040000000000001
1986,WI,0.512,0.522,0.862,0.88
1986,WV,0.392,0.402,0.654,0.67
1986,WY,0.535,0.5479999999999999,0.63,0.644
1988,AK,0.594,0.639,0.7,0.754
1988,AL,0.569,0.5760000000000001,0.733,0.742
1988,AR,0.5579999999999999,0.5720000000000001,0.674,0.691
1988,AZ,0.54,0.578,0.625,0.669
1988,CA,0.517,0.648,0.591,0.741
1988,CO,0.654,0.6920000000000001,0.73,0.772
1988,CT,0.639,0.6920000000000001,0.735,0.7959999999999999
1988,DC,0.527,0.579,0.647,0.711
1988,DE,0.5870000000000001,0.614,0.64,0.67
1988,FL,0.545,0.608,0.63,0.703
1988,GA,0.496,0.517,0.614,0.639
1988,HI,0.5479999999999999,0.603,0.61,0.672
1988,IA,0.636,0.649,0.7190000000000001,0.7340000000000001
1988,ID,0.639,0.6709999999999999,0.696,0.732
1988,IL,0.607,0.6579999999999999,0.693,0.752
1988,IN,0.604,0.626,0.684,0.708
1988,KS,0.606,0.628,0.6759999999999999,0.7
1988,KY,0.49700000000000005,0.509,0.622,0.637
1988,LA,0.652,0.672,0.7509999999999999,0.774
1988,MA,0.636,0.6829999999999999,0.711,0.763
1988,MD,0.5479999999999999,0.597,0.6409999999999999,0.6970000000000001
1988,ME,0.667,0.685,0.807,0.8290000000000001
1988,MI,0.595,0.648,0.723,0.7879999999999999
1988,MN,0.6970000000000001,0.7440000000000001,0.7759999999999999,0.828
1988,MO,0.645,0.662,0.748,0.768
1988,MS,0.627,0.6409999999999999,0.782,0.8
1988,MT,0.6859999999999999,0.6970000000000001,0.752,0.764
1988,NC,0.529,0.5489999999999999,0.636,0.659
1988,ND,0.732,0.746,0.94,0.958
1988,NE,0.635,0.657,0.708,0.733
1988,NH,0.581,0.598,0.66,0.6809999999999999
1988,NJ,0.595,0.6509999999999999,0.665,0.728
1988,NM,0.546,0.593,0.644,0.7
1988,NV,0.469,0.507,0.545,0.588
1988,NY,0.54,0.619,0.604,0.6920000000000001
1988,OH,0.621,0.643,0.6940000000000001,0.718
1988,OK,0.556,0.575,0.6459999999999999,0.6679999999999999
1988,OR,0.638,0.6609999999999999,0.7120000000000001,0.737
1988,PA,0.5479999999999999,0.569,0.622,0.647
1988,RI,0.608,0.682,0.691,0.7759999999999999
1988,SC,0.49200000000000005,0.505,0.604,0.619
1988,SD,0.72,0.733,0.799,0.813
1988,TN,0.514,0.524,0.653,0.6659999999999999
1988,TX,0.539,0.5920000000000001,0.6579999999999999,0.723
1988,UT,0.698,0.7290000000000001,0.7559999999999999,0.79
1988,VA,0.58,0.605,0.669,0.6970000000000001
1988,VT,0.64,0.6629999999999999,0.777,0.805
1988,WA,0.619,0.6459999999999999,0.6859999999999999,0.716
1988,WI,0.7020000000000001,0.713,0.8540000000000001,0.867
1988,WV,0.527,0.5379999999999999,0.648,0.6609999999999999
1988,WY,0.617,0.638,0.677,0.7
1990,AK,0.5920000000000001,0.633,0.71,0.7559999999999999
1990,AL,0.51,0.521,0.726,0.741
1990,AR,0.46399999999999997,0.485,0.61,0.637
1990,AZ,0.462,0.504,0.563,0.613
1990,CA,0.424,0.5429999999999999,0.5479999999999999,0.7020000000000001
1990,CO,0.506,0.5329999999999999,0.654,0.69
1990,CT,0.494,0.546,0.648,0.715
1990,DC,0.486,0.55,0.622,0.7040000000000001
1990,DE,0.384,0.415,0.535,0.579
1990,FL,0.434,0.491,0.581,0.657
1990,GA,0.423,0.452,0.574,0.614
1990,HI,0.516,0.579,0.5720000000000001,0.6409999999999999
1990,IA,0.505,0.518,0.674,0.6920000000000001
1990,ID,0.48200000000000004,0.507,0.606,0.638
1990,IL,0.483,0.531,0.6559999999999999,0.721
1990,IN,0.442,0.467,0.609,0.644
1990,KS,0.524,0.542,0.642,0.665
1990,KY,0.39,0.40399999999999997,0.604,0.627
1990,LA,0.514,0.537,0.732,0.764
1990,MA,0.588,0.647,0.693,0.764
1990,MD,0.39399999999999996,0.424,0.547,0.588
1990,ME,0.647,0.6679999999999999,0.813,0.8390000000000001
1990,MI,0.45399999999999996,0.489,0.708,0.763
1990,MN,0.629,0.649,0.8270000000000001,0.8540000000000001
1990,MO,0.409,0.425,0.662,0.687
1990,MS,0.34700000000000003,0.355,0.7090000000000001,0.725
1990,MT,0.627,0.645,0.731,0.7509999999999999
1990,NC,0.493,0.51,0.626,0.648
1990,ND,0.601,0.616,0.9059999999999999,0.927
1990,NE,0.578,0.597,0.7020000000000001,0.7240000000000001
1990,NH,0.44299999999999995,0.45899999999999996,0.629,0.653
1990,NJ,0.418,0.469,0.609,0.684
1990,NM,0.456,0.496,0.593,0.645
1990,NV,0.425,0.461,0.521,0.565
1990,NY,0.415,0.485,0.57,0.6659999999999999
1990,OH,0.485,0.509,0.624,0.66
1990,OK,0.49200000000000005,0.516,0.662,0.693
1990,OR,0.539,0.578,0.6609999999999999,0.708
1990,PA,0.42,0.441,0.59,0.619
1990,RI,0.534,0.608,0.628,0.716
1990,SC,0.428,0.439,0.58,0.595
1990,SD,0.5720000000000001,0.595,0.741,0.772
1990,TN,0.305,0.309,0.639,0.648
1990,TX,0.414,0.457,0.604,0.6659999999999999
1990,UT,0.47100000000000003,0.488,0.609,0.63
1990,VA,0.374,0.39899999999999997,0.6,0.639
1990,VT,0.55,0.5760000000000001,0.7440000000000001,0.778
1990,WA,0.433,0.46299999999999997,0.618,0.6609999999999999
1990,WI,0.48,0.494,0.78,0.802
1990,WV,0.34700000000000003,0.35600000000000004,0.5660000000000001,0.581
1990,WY,0.535,0.552,0.627,0.647
1992,AK,0.6859999999999999,0.74,0.7509999999999999,0.81
1992,AL,0.636,0.644,0.7709999999999999,0.78
1992,AR,0.58,0.605,0.665,0.6940000000000001
1992,AZ,0.647,0.6970000000000001,0.705,0.759
1992,CA,0.528,0.701,0.5760000000000001,0.765
1992,CO,0.688,0.727,0.747,0.789
1992,CT,0.7170000000000001,0.7879999999999999,0.768,0.8440000000000001
1992,DC,0.6609999999999999,0.725,0.7390000000000001,0.812
1992,DE,0.6609999999999999,0.711,0.7070000000000001,0.7609999999999999
1992,FL,0.5579999999999999,0.635,0.627,0.7140000000000001
1992,GA,0.541,0.573,0.62,0.6559999999999999
1992,HI,0.552,0.619,0.606,0.679
1992,IA,0.708,0.728,0.779,0.802
1992,ID,0.669,0.708,0.718,0.76
1992,IL,0.6509999999999999,0.723,0.721,0.8
1992,IN,0.63,0.644,0.68,0.695
1992,KS,0.7190000000000001,0.738,0.7709999999999999,0.792
1992,KY,0.5760000000000001,0.614,0.649,0.6920000000000001
1992,LA,0.6859999999999999,0.71,0.77,0.797
1992,MA,0.6579999999999999,0.738,0.725,0.813
1992,MD,0.664,0.7170000000000001,0.7170000000000001,0.775
1992,ME,0.741,0.767,0.8540000000000001,0.883
1992,MI,0.659,0.711,0.746,0.804
1992,MN,0.742,0.7829999999999999,0.861,0.909
1992,MO,0.662,0.6829999999999999,0.742,0.765
1992,MS,0.667,0.68,0.7929999999999999,0.809
1992,MT,0.7140000000000001,0.7340000000000001,0.773,0.795
1992,NC,0.6,0.626,0.687,0.716
1992,ND,0.711,0.728,0.9079999999999999,0.93
1992,NE,0.6609999999999999,0.6759999999999999,0.731,0.747
1992,NH,0.6459999999999999,0.6759999999999999,0.6990000000000001,0.732
1992,NJ,0.612,0.7,0.68,0.778
1992,NM,0.626,0.667,0.6709999999999999,0.7140000000000001
1992,NV,0.581,0.645,0.634,0.703
1992,NY,0.568,0.677,0.62,0.7390000000000001
1992,OH,0.643,0.691,0.696,0.747
1992,OK,0.675,0.705,0.743,0.775
1992,OR,0.691,0.7390000000000001,0.747,0.799
1992,PA,0.599,0.621,0.6509999999999999,0.674
1992,RI,0.69,0.7509999999999999,0.74,0.805
1992,SC,0.58,0.593,0.67,0.6859999999999999
1992,SD,0.7020000000000001,0.718,0.8009999999999999,0.8190000000000001
1992,TN,0.556,0.568,0.65,0.6629999999999999
1992,TX,0.556,0.623,0.649,0.728
1992,UT,0.723,0.758,0.7879999999999999,0.826
1992,VA,0.612,0.643,0.654,0.687
1992,VT,0.6859999999999999,0.7340000000000001,0.7609999999999999,0.8140000000000001
1992,WA,0.6629999999999999,0.703,0.715,0.758
1992,WI,0.753,0.77,0.8440000000000001,0.863
1992,WV,0.573,0.585,0.649,0.6629999999999999
1992,WY,0.642,0.665,0.6809999999999999,0.706
1994,AK,0.594,0.605,0.72,0.735
1994,AL,0.45799999999999996,0.46399999999999997,0.706,0.715
1994,AR,0.41700000000000004,0.42100000000000004,0.6,0.607
1994,AZ,0.419,0.457,0.5660000000000001,0.618
1994,CA,0.46,0.575,0.5539999999999999,0.693
1994,CO,0.465,0.479,0.645,0.665
1994,CT,0.519,0.5539999999999999,0.69,0.737
1994,DC,0.561,0.632,0.6759999999999999,0.762
1994,DE,0.414,0.423,0.589,0.604
1994,FL,0.435,0.49,0.5670000000000001,0.639
1994,GA,0.35700000000000004,0.365,0.552,0.565
1994,HI,0.469,0.527,0.526,0.59
1994,IA,0.525,0.534,0.7170000000000001,0.73
1994,ID,0.507,0.516,0.631,0.642
1994,IL,0.43,0.462,0.635,0.6809999999999999
1994,IN,0.387,0.39,0.556,0.56
1994,KS,0.507,0.518,0.6559999999999999,0.67
1994,KY,0.34600000000000003,0.35,0.626,0.631
1994,LA,0.342,0.34700000000000003,0.706,0.716
1994,MA,0.519,0.55,0.66,0.7
1994,MD,0.469,0.493,0.636,0.667
1994,ME,0.583,0.597,0.818,0.8370000000000001
1994,MI,0.523,0.535,0.7390000000000001,0.7559999999999999
1994,MN,0.585,0.589,0.812,0.818
1994,MO,0.546,0.555,0.7240000000000001,0.736
1994,MS,0.44299999999999995,0.445,0.726,0.7290000000000001
1994,MT,0.607,0.612,0.732,0.738
1994,NC,0.358,0.364,0.609,0.62
1994,ND,0.613,0.616,0.935,0.941
1994,NE,0.544,0.5479999999999999,0.727,0.733
1994,NH,0.41700000000000004,0.429,0.648,0.667
1994,NJ,0.41,0.452,0.625,0.6890000000000001
1994,NM,0.47,0.502,0.591,0.631
1994,NV,0.40399999999999997,0.444,0.498,0.546
1994,NY,0.45299999999999996,0.515,0.5770000000000001,0.6559999999999999
1994,OH,0.467,0.47,0.648,0.652
1994,OK,0.469,0.475,0.659,0.6679999999999999
1994,OR,0.613,0.65,0.731,0.7759999999999999
1994,PA,0.428,0.43700000000000006,0.591,0.603
1994,RI,0.512,0.545,0.652,0.6940000000000001
1994,SC,0.45399999999999996,0.45899999999999996,0.61,0.617
1994,SD,0.64,0.642,0.755,0.757
